"Id","Context","Source","es","prs","am","ar","az","bn","my","zh-CN","kw","fr","ha","hi","id","quc","km","rw","lo","mam","ne-NP","pbu","pt-PT","fuc","ru","sw","tl","ta","te","th","tr","vi"
"stats.comprehensionQuestions","","Comprehension Questions","Preguntas de comprensión","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Questions de compréhension","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions","Comprehension Questions"
"bookTitle","","Book TItle","Título del libro","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Titre du livre","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle","Book TItle"
"branding","","Branding","Marcación","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Image de marque","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding","Branding"
"stats.questions","","Question","Preguntas","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question","Question"
"stats.quizzesTaken","","Quizzes Taken","Pruebas realizadas","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Tentatives de Quizz","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken","Quizzes Taken"
"stats.meanCorrect","","Mean Correct","Media","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Moyenne correcte","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct","Mean Correct"
"stats.medianCorrect","","Median Correct","Mediana","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Médiane correcte","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct","Median Correct"
"stats.queryDescription.underCountingNote","","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Tenga en cuenta que los eventos que los aparatos y los navegadores intentan enviarnos son a veces detenidos por varios cortafuegos de red.Por lo tanto los resultados pueden estar subestimados.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Notez que les événements que les appareils et les navigateurs tentent de nous envoyer sont parfois arrêtés par divers pare-feu de réseau. Il se peut donc que nous soyons en train de sousestimer.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting.","Note that the events that devices and browsers try to send to us are sometimes stopped by various network firewalls. Therefore we may be under counting."
"stats.queryDescription.about","","About this data","Sobre estos datos","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","A propos de ces données","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data","About this data"
"stats.queryDescription.intro","","These statistic are from events we received which fit the following criteria:","Estas estadísticas son de eventos que recibimos que cumplen con los siguientes criterios:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","Ces statistiques proviennent d'événements que nous avons reçus et qui correspondent aux critères suivants :","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:","These statistic are from events we received which fit the following criteria:"
